Abbreviation3-1,Abbreviation3-2,Abbreviation2,Language,French
aar,,aa,afar,afar
abk,,ab,abkhazian,abkhaze
ace,,,achinese,aceh
ach,,,acoli,acoli
ada,,,adangme,adangme
ady,,,adyghe; adygei,adyghé
afa,,,afro-asiatic languages,"afro-asiatiques, langues"
afh,,,afrihili,afrihili
afr,,af,afrikaans,afrikaans
ain,,,ainu,aïnou
aka,,ak,akan,akan
akk,,,akkadian,akkadien
alb,sqi,sq,albanian,albanais
ale,,,aleut,aléoute
alg,,,algonquian languages,"algonquines, langues"
alt,,,southern altai,altai du Sud
amh,,am,amharic,amharique
ang,,,"english, old (ca.450-1100)",anglo-saxon (ca.450-1100)
anp,,,angika,angika
apa,,,apache languages,"apaches, langues"
ara,,ar,arabic,arabe
arc,,,official aramaic (700-300 bce); imperial aramaic (700-300 bce),araméen d'empire (700-300 BCE)
arg,,an,aragonese,aragonais
arm,hye,hy,armenian,arménien
arn,,,mapudungun; mapuche,mapudungun; mapuche; mapuce
arp,,,arapaho,arapaho
art,,,artificial languages,"artificielles, langues"
arw,,,arawak,arawak
asm,,as,assamese,assamais
ast,,,asturian; bable; leonese; asturleonese,asturien; bable; léonais; asturoléonais
ath,,,athapascan languages,"athapascanes, langues"
aus,,,australian languages,"australiennes, langues"
ava,,av,avaric,avar
ave,,ae,avestan,avestique
awa,,,awadhi,awadhi
aym,,ay,aymara,aymara
aze,,az,azerbaijani,azéri
bad,,,banda languages,"banda, langues"
bai,,,bamileke languages,"bamiléké, langues"
bak,,ba,bashkir,bachkir
bal,,,baluchi,baloutchi
bam,,bm,bambara,bambara
ban,,,balinese,balinais
baq,eus,eu,basque,basque
bas,,,basa,basa
bat,,,baltic languages,"baltes, langues"
bej,,,beja; bedawiyet,bedja
bel,,be,belarusian,biélorusse
bem,,,bemba,bemba
ben,,bn,bengali,bengali
ber,,,berber languages,"berbères, langues"
bho,,,bhojpuri,bhojpuri
bih,,,bihari languages,langues biharis
bik,,,bikol,bikol
bin,,,bini; edo,bini; edo
bis,,bi,bislama,bichlamar
bla,,,siksika,blackfoot
bnt,,,bantu languages,"bantou, langues"
bos,,bs,bosnian,bosniaque
bra,,,braj,braj
bre,,br,breton,breton
btk,,,batak languages,"batak, langues"
bua,,,buriat,bouriate
bug,,,buginese,bugi
bul,,bg,bulgarian,bulgare
bur,mya,my,burmese,birman
byn,,,blin; bilin,blin; bilen
cad,,,caddo,caddo
cai,,,central american indian languages,"amérindiennes de L'Amérique centrale, langues"
car,,,galibi carib,karib; galibi; carib
cat,,ca,catalan; valencian,catalan; valencien
cau,,,caucasian languages,"caucasiennes, langues"
ceb,,,cebuano,cebuano
cel,,,celtic languages,"celtiques, langues; celtes, langues"
cha,,ch,chamorro,chamorro
chb,,,chibcha,chibcha
che,,ce,chechen,tchétchène
chg,,,chagatai,djaghataï
chi,zho,zh,chinese,chinois
chk,,,chuukese,chuuk
chm,,,mari,mari
chn,,,chinook jargon,"chinook, jargon"
cho,,,choctaw,choctaw
chp,,,chipewyan; dene suline,chipewyan
chr,,,cherokee,cherokee
chu,,cu,church slavic; old slavonic; church slavonic; old bulgarian; old church slavonic,slavon d'église; vieux slave; slavon liturgique; vieux bulgare
chv,,cv,chuvash,tchouvache
chy,,,cheyenne,cheyenne
cmc,,,chamic languages,"chames, langues"
cnr,,,montenegrin,monténégrin
cop,,,coptic,copte
cor,,kw,cornish,cornique
cos,,co,corsican,corse
cpe,,,"creoles and pidgins, english based",créoles et pidgins basés sur l'anglais
cpf,,,"creoles and pidgins, french-based",créoles et pidgins basés sur le français
cpp,,,"creoles and pidgins, portuguese-based",créoles et pidgins basés sur le portugais
cre,,cr,cree,cree
crh,,,crimean tatar; crimean turkish,tatar de Crimé
crp,,,creoles and pidgins,créoles et pidgins
csb,,,kashubian,kachoube
cus,,,cushitic languages,"couchitiques, langues"
cze,ces,cs,czech,tchèque
dak,,,dakota,dakota
dan,,da,danish,danois
dar,,,dargwa,dargwa
day,,,land dayak languages,"dayak, langues"
del,,,delaware,delaware
den,,,slave (athapascan),esclave (athapascan)
dgr,,,tlicho; dogrib,tlicho; dogrib
din,,,dinka,dinka
div,,dv,divehi; dhivehi; maldivian,maldivien
doi,,,dogri,dogri
dra,,,dravidian languages,"dravidiennes, langues"
dsb,,,lower sorbian,bas-sorabe
dua,,,duala,douala
dum,,,"dutch, middle (ca.1050-1350)",néerlandais moyen (ca. 1050-1350)
dut,nld,nl,dutch; flemish,néerlandais; flamand
dyu,,,dyula,dioula
dzo,,dz,dzongkha,dzongkha
efi,,,efik,efik
egy,,,egyptian (ancient),égyptien
eka,,,ekajuk,ekajuk
elx,,,elamite,élamite
eng,,en,english,anglais
enm,,,"english, middle (1100-1500)",anglais moyen (1100-1500)
epo,,eo,esperanto,espéranto
est,,et,estonian,estonien
ewe,,ee,ewe,éwé
ewo,,,ewondo,éwondo
fan,,,fang,fang
fao,,fo,faroese,féroïen
fat,,,fanti,fanti
fij,,fj,fijian,fidjien
fil,,,filipino; pilipino,filipino; pilipino
fin,,fi,finnish,finnois
fiu,,,finno-ugrian languages,"finno-ougriennes, langues"
fon,,,fon,fon
fre,fra,fr,french,français
frm,,,"french, middle (ca.1400-1600)",français moyen (1400-1600)
fro,,,"french, old (842-ca.1400)",français ancien (842-ca.1400)
frr,,,northern frisian,frison septentrional
frs,,,eastern frisian,frison oriental
fry,,fy,western frisian,frison occidental
ful,,ff,fulah,peul
fur,,,friulian,frioulan
gaa,,,ga,ga
gay,,,gayo,gayo
gba,,,gbaya,gbaya
gem,,,germanic languages,"germaniques, langues"
geo,kat,ka,georgian,géorgien
ger,deu,de,german,allemand
gez,,,geez,guèze
gil,,,gilbertese,kiribati
gla,,gd,gaelic; scottish gaelic,gaélique; gaélique écossais
gle,,ga,irish,irlandais
glg,,gl,galician,galicien
glv,,gv,manx,manx; mannois
gmh,,,"german, middle high (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)"
goh,,,"german, old high (ca.750-1050)","allemand, vieux haut (ca. 750-1050)"
gon,,,gondi,gond
gor,,,gorontalo,gorontalo
got,,,gothic,gothique
grb,,,grebo,grebo
grc,,,"greek, ancient (to 1453)",grec ancien (jusqu'à 1453)
gre,ell,el,"greek, modern (1453-)",grec moderne (après 1453)
grn,,gn,guarani,guarani
gsw,,,swiss german; alemannic; alsatian,suisse alémanique; alémanique; alsacien
guj,,gu,gujarati,goudjrati
gwi,,,gwich'in,gwich'in
hai,,,haida,haida
hat,,ht,haitian; haitian creole,haïtien; créole haïtien
hau,,ha,hausa,haoussa
haw,,,hawaiian,hawaïen
heb,,he,hebrew,hébreu
her,,hz,herero,herero
hil,,,hiligaynon,hiligaynon
him,,,himachali languages; western pahari languages,langues himachalis; langues paharis occidentales
hin,,hi,hindi,hindi
hit,,,hittite,hittite
hmn,,,hmong; mong,hmong
hmo,,ho,hiri motu,hiri motu
hrv,,hr,croatian,croate
hsb,,,upper sorbian,haut-sorabe
hun,,hu,hungarian,hongrois
hup,,,hupa,hupa
iba,,,iban,iban
ibo,,ig,igbo,igbo
ice,isl,is,icelandic,islandais
ido,,io,ido,ido
iii,,ii,sichuan yi; nuosu,yi de Sichuan
ijo,,,ijo languages,"ijo, langues"
iku,,iu,inuktitut,inuktitut
ile,,ie,interlingue; occidental,interlingue
ilo,,,iloko,ilocano
ina,,ia,interlingua (international auxiliary language association),interlingua (langue auxiliaire internationale)
inc,,,indic languages,"indo-aryennes, langues"
ind,,id,indonesian,indonésien
ine,,,indo-european languages,"indo-européennes, langues"
inh,,,ingush,ingouche
ipk,,ik,inupiaq,inupiaq
ira,,,iranian languages,"iraniennes, langues"
iro,,,iroquoian languages,"iroquoises, langues"
ita,,it,italian,italien
jav,,jv,javanese,javanais
jbo,,,lojban,lojban
jpn,,ja,japanese,japonais
jpr,,,judeo-persian,judéo-persan
jrb,,,judeo-arabic,judéo-arabe
kaa,,,kara-kalpak,karakalpak
kab,,,kabyle,kabyle
kac,,,kachin; jingpho,kachin; jingpho
kal,,kl,kalaallisut; greenlandic,groenlandais
kam,,,kamba,kamba
kan,,kn,kannada,kannada
kar,,,karen languages,"karen, langues"
kas,,ks,kashmiri,kashmiri
kau,,kr,kanuri,kanouri
kaw,,,kawi,kawi
kaz,,kk,kazakh,kazakh
kbd,,,kabardian,kabardien
kha,,,khasi,khasi
khi,,,khoisan languages,"khoïsan, langues"
khm,,km,central khmer,khmer central
kho,,,khotanese; sakan,khotanais; sakan
kik,,ki,kikuyu; gikuyu,kikuyu
kin,,rw,kinyarwanda,rwanda
kir,,ky,kirghiz; kyrgyz,kirghiz
kmb,,,kimbundu,kimbundu
kok,,,konkani,konkani
kom,,kv,komi,kom
kon,,kg,kongo,kongo
kor,,ko,korean,coréen
kos,,,kosraean,kosrae
kpe,,,kpelle,kpellé
krc,,,karachay-balkar,karatchai balkar
krl,,,karelian,carélien
kro,,,kru languages,"krou, langues"
kru,,,kurukh,kurukh
kua,,kj,kuanyama; kwanyama,kuanyama; kwanyama
kum,,,kumyk,koumyk
kur,,ku,kurdish,kurde
kut,,,kutenai,kutenai
lad,,,ladino,judéo-espagnol
lah,,,lahnda,lahnda
lam,,,lamba,lamba
lao,,lo,lao,lao
lat,,la,latin,latin
lav,,lv,latvian,letton
lez,,,lezghian,lezghien
lim,,li,limburgan; limburger; limburgish,limbourgeois
lin,,ln,lingala,lingala
lit,,lt,lithuanian,lituanien
lol,,,mongo,mongo
loz,,,lozi,lozi
